filename,is_nodule,vX,vY,vZ,is_generated
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860_117_406_155.png,1,406,155,117,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860_78_45_212.png,1,45,212,78,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860_82_225_348.png,0,225,348,82,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860_173_213_288.png,0,213,288,173,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860_86_131_397.png,0,131,397,86,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860_65_146_326.png,0,146,326,65,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208_89_385_270.png,1,385,270,89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208_134_343_229.png,0,343,229,134,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208_119_222_255.png,0,222,255,119,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_248_219_282.png,1,219,282,248,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_252_219_292.png,1,219,292,252,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_232_388_240.png,1,388,240,232,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_140_376_326.png,1,376,326,140,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_230_379_250.png,1,379,250,230,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_223_375_253.png,1,375,253,223,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_266_173_330.png,1,173,330,266,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_229_375_264.png,1,375,264,229,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_255_231_297.png,1,231,297,255,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_230_376_240.png,1,376,240,230,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_227_388_255.png,1,388,255,227,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_232_367_253.png,1,367,253,232,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_143_376_338.png,1,376,338,143,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_139_386_328.png,1,386,328,139,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_259_226_292.png,1,226,292,259,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_144_379_350.png,1,379,350,144,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_233_386_258.png,1,386,258,233,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_203_205_269.png,0,205,269,203,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_250_165_337.png,0,165,337,250,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_293_299_255.png,0,299,255,293,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_259_198_247.png,0,198,247,259,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_198_403_287.png,0,403,287,198,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_254_176_254.png,0,176,254,254,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_176_327_306.png,0,327,306,176,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_253_346_255.png,0,346,255,253,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_153_381_304.png,0,381,304,153,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_217_372_207.png,0,372,207,217,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_240_371_370.png,0,371,370,240,0
